"chr","start","end","gene","peakWidth"
"chr11",69639996,69640496,"CCND1",500
"chr4",2058407,2058907,"NAT8L",500
"chr9",78296238,78296738,"PSAT1",500
"chr9",36037618,36038118,"RECK",500
"chr2",215361443,215361943,"FN1",500
"chr17",8473516,8474016,"MYH10",500
"chr2",25227895,25228395,"DNMT3A",500
"chr1",156722456,156722956,"ISG20L2",500
"chr9",114333906,114334406,"AKNA",500
"chr11",125626150,125626650,"CHEK1",500
"chr9",136795809,136796309,"CCDC183",500
"chr5",83634865,83635365,"HAPLN1",500
"chr6",117452401,117452901,"DCBLD1",500
"chr16",1152983,1153483,"CACNA1H",500
"chr4",2060830,2061330,"NAT8L",500
"chr12",74536359,74536859,"ATXN7L3B",500
"chr3",101830027,101830527,"NFKBIZ",500
"chr14",24401798,24402298,"NYNRIN",500
"chr13",39010156,39010656,"PROSER1",500
"chr3",185640875,185641375,"IGF2BP2",500
"chr9",97030284,97030784,"CTSV",500
"chr1",149901551,149902051,"SV2A",500
"chr6",47232851,47233351,"TNFRSF21",500
"chr16",56732689,56733189,"NUP93",500
"chr9",115019970,115020470,"TNC",500
"chr3",129974580,129975080,"TRH",500
"chr9",36039356,36039856,"RECK",500
"chr21",45408109,45408609,"COL18A1",500
"chr4",4348526,4349026,"NSG1",500
"chr3",15447802,15448302,"COLQ",500
"chr21",43660125,43660625,"RRP1B",500
"chr14",69855535,69856035,"SMOC1",500
"chr1",160401544,160402044,"VANGL2",500
"chr1",43989667,43990167,"SLC6A9",500
"chr5",168290787,168291287,"WWC1",500
"chr5",32688019,32688519,"NPR3",500
"chr14",69855350,69855850,"SMOC1",500
"chr5",32688758,32689258,"NPR3",500
"chr9",36038821,36039321,"RECK",500
"chr21",33645251,33645751,"ITSN1",500
"chr5",147388681,147389181,"DPYSL3",500
"chr17",62968251,62968751,"TANC2",500
"chr7",33903952,33904452,"BMPER",500
"chr1",917162,917662,"LINC02593",500
"chr21",45407078,45407578,"COL18A1",500
"chr6",34238107,34238607,"HMGA1",500
"chrX",2831473,2831973,"GYG2",500
"chr7",105438171,105438671,"PUS7",500
"chr1",64471192,64471692,"CACHD1",500
"chr2",68859916,68860416,"BMP10",500
"chr1",149901450,149901950,"SV2A",500
"chr10",69801077,69801577,"COL13A1",500
"chr16",23837435,23837935,"PRKCB",500
"chr5",83635849,83636349,"HAPLN1",500
"chr10",119725075,119725575,"INPP5F",500
"chr10",22533810,22534310,"PIP4K2A",500
"chr21",43660229,43660729,"RRP1B",500
"chr9",115017769,115018269,"TNC",500
"chr21",31115977,31116477,"TIAM1",500
"chr17",79780610,79781110,"CBX2",500
"chr1",53241607,53242107,"LRP8",500
"chr1",89182178,89182678,"GBP4",500
"chr18",10457467,10457967,"APCDD1",500
"chr5",147389567,147390067,"DPYSL3",500
"chr1",64471942,64472442,"CACHD1",500
"chr1",29235800,29236300,"PTPRU",500
"chrX",71255488,71255988,"NONO",500
"chr1",21216443,21216943,"ECE1",500
"chr19",8062866,8063366,"FBN3",500
"chr5",168662160,168662660,"SLIT3",500
"chr12",65823882,65824382,"HMGA2",500
"chr20",62818177,62818677,"COL9A3",500
"chr19",4904379,4904879,"UHRF1",500
"chrX",2831166,2831666,"GYG2",500
"chr3",139936251,139936751,"CLSTN2",500
"chr22",21417091,21417591,"HIC2",500
"chr5",76715173,76715673,"F2R",500
"chr10",71213339,71213839,"UNC5B",500
"chr13",39007459,39007959,"PROSER1",500
"chr1",28504875,28505375,"RCC1",500
"chr11",61752226,61752726,"MYRF",500
"chr11",119094289,119094789,"DPAGT1",500
"chr12",47973765,47974265,"COL2A1",500
"chr16",28259381,28259881,"SBK1",500
"chr17",4583333,4583833,"SMTNL2",500
"chr1",160401663,160402163,"VANGL2",500
"chr8",103150873,103151373,"BAALC-AS1",500
"chr1",156721883,156722383,"ISG20L2",500
"chr17",4584322,4584822,"SMTNL2",500
"chr1",46247957,46248457,"RAD54L",500
"chr1",53241958,53242458,"LRP8",500
"chr1",29237144,29237644,"PTPRU",500
"chr17",73334957,73335457,"SDK2",500
"chr2",25229261,25229761,"DNMT3A",500
"chr20",32193733,32194233,"PLAGL2",500
"chr15",41559888,41560388,"TYRO3",500
"chr4",4350403,4350903,"NSG1",500
"chr3",10028834,10029334,"FANCD2",500
"chr16",1152316,1152816,"CACNA1H",500
"chr2",96337116,96337616,"NCAPH",500
"chr21",33642823,33643323,"ITSN1",500
"chr9",86024067,86024567,"GOLM1",500
"chr1",206473166,206473666,"IKBKE",500
"chr5",34655342,34655842,"RAI14",500
"chr4",20250923,20251423,"SLIT2",500
"chr14",70644819,70645319,"TTC9",500
"chr7",41962315,41962815,"GLI3",500
"chr4",108044726,108045226,"LEF1",500
"chr9",71684470,71684970,"CEMIP2",500
"chr16",87829664,87830164,"SLC7A5",500
"chr17",79933824,79934324,"TBC1D16",500
"chr14",24398942,24399442,"NYNRIN",500
"chr3",48154619,48155119,"CDC25A",500
"chr2",205681818,205682318,"NRP2",500
"chr7",75531330,75531830,"HIP1",500
"chr3",184561162,184561662,"EPHB3",500
"chr5",168659435,168659935,"SLIT3",500
"chr17",42754212,42754712,"RAMP2-AS1",500
"chr2",205683823,205684323,"NRP2",500
"chr4",108046872,108047372,"LEF1",500
"chr21",45405297,45405797,"COL18A1",500
"chr1",47214194,47214694,"TAL1",500
"chr10",121476355,121476855,"FGFR2",500
"chr9",86023465,86023965,"GOLM1",500
"chr1",167721053,167721553,"MPZL1",500
"chr13",26559992,26560492,"WASF3",500
"chr15",65530172,65530672,"HACD3",500
"chr1",64472959,64473459,"CACHD1",500
"chr1",917624,918124,"LINC02593",500
"chr16",1152279,1152779,"CACNA1H",500
"chr1",43989822,43990322,"SLC6A9",500
"chr1",89182208,89182708,"GBP4",500
"chr3",101828497,101828997,"NFKBIZ",500
"chr1",917721,918221,"LINC02593",500
"chr16",46690732,46691232,"ORC6",500
"chr16",51136880,51137380,"SALL1",500
"chr9",87497584,87498084,"DAPK1",500
"chr6",47228660,47229160,"TNFRSF21",500
"chr17",42753290,42753790,"RAMP2-AS1",500
"chr7",105438705,105439205,"PUS7",500
"chr9",128457643,128458143,"ODF2",500
"chr20",32192594,32193094,"PLAGL2",500
"chr6",47231718,47232218,"TNFRSF21",500
"chrX",71255527,71256027,"NONO",500
"chr1",46248027,46248527,"RAD54L",500
"chr3",196936048,196936548,"NCBP2",500
"chr1",916249,916749,"LINC02593",500
"chr1",46246353,46246853,"RAD54L",500
"chr9",36035563,36036063,"RECK",500
"chr11",69640174,69640674,"CCND1",500
"chr3",129975271,129975771,"TRH",500
"chr21",43658326,43658826,"RRP1B",500
"chr17",42823668,42824168,"PSME3",500
"chr12",65826937,65827437,"HMGA2",500
"chr19",4904223,4904723,"UHRF1",500
"chr3",15449659,15450159,"COLQ",500
"chr1",46247764,46248264,"RAD54L",500
"chr1",206471964,206472464,"IKBKE",500
"chr16",1153160,1153660,"CACNA1H",500
"chr6",34238799,34239299,"HMGA1",500
"chr22",27850367,27850867,"PITPNB",500
"chr6",20401482,20401982,"E2F3",500
"chr4",108047517,108048017,"LEF1",500
"chr17",8474176,8474676,"MYH10",500
"chr3",129977019,129977519,"TRH",500
"chr1",21214360,21214860,"ECE1",500
"chr1",149900596,149901096,"SV2A",500
"chr1",46246018,46246518,"RAD54L",500
"chr1",89178222,89178722,"GBP4",500
"chr20",62461764,62462264,"GATA5",500
"chr18",10456905,10457405,"APCDD1",500
"chr4",108048983,108049483,"LEF1",500
"chr21",45407105,45407605,"COL18A1",500
"chr19",798730,799230,"PTBP1",500
"chr1",52682210,52682710,"COA7",500
"chr8",121612769,121613269,"HAS2",500
"chr3",101830254,101830754,"NFKBIZ",500
"chr3",101828198,101828698,"NFKBIZ",500
"chr17",4584005,4584505,"SMTNL2",500
"chr5",32691394,32691894,"NPR3",500
"chr3",186045927,186046427,"ETV5",500
"chr6",43520564,43521064,"XPO5",500
"chr16",1151798,1152298,"CACNA1H",500
"chr16",56731372,56731872,"NUP93",500
"chr6",2886502,2887002,"SERPINB9",500
"chr9",71682796,71683296,"CEMIP2",500
"chr6",34239663,34240163,"HMGA1",500
"chr17",50559638,50560138,"CACNA1G",500
"chr10",13160635,13161135,"MCM10",500
"chr5",76613554,76614054,"F2RL2",500
"chr16",1154456,1154956,"CACNA1H",500
"chr2",1630503,1631003,"PXDN",500
"chr20",62818074,62818574,"COL9A3",500
"chr16",56729347,56729847,"NUP93",500
"chr20",62815335,62815835,"COL9A3",500
"chr3",13314882,13315382,"NUP210",500
"chr16",68638249,68638749,"CDH3",500
"chr15",41558837,41559337,"TYRO3",500
"chr8",125432516,125433016,"TRIB1",500
"chr15",88619873,88620373,"AEN",500
"chr1",160118070,160118570,"ATP1A2",500
"chr16",51135045,51135545,"SALL1",500
"chr18",72534320,72534820,"CBLN2",500
"chr12",47972676,47973176,"COL2A1",500
"chr12",44507481,44507981,"NELL2",500
"chr10",119727741,119728241,"INPP5F",500
"chr3",186046156,186046656,"ETV5",500
"chr17",44926129,44926629,"KIF18B",500
"chr15",65531907,65532407,"HACD3",500
"chr15",80779437,80779937,"CEMIP",500
"chr1",40980455,40980955,"CTPS1",500
"chr9",91564573,91565073,"ROR2",500
"chr16",87830623,87831123,"SLC7A5",500
"chr2",1632095,1632595,"PXDN",500
"chr3",109326335,109326835,"DPPA4",500
"chr2",215360589,215361089,"FN1",500
"chr10",106574468,106574968,"SORCS1",500
"chr17",62968678,62969178,"TANC2",500
"chr1",43990158,43990658,"SLC6A9",500
"chr10",121479507,121480007,"FGFR2",500
"chr17",44924620,44925120,"KIF18B",500
"chr9",129884695,129885195,"FNBP1",500
"chr3",129975156,129975656,"TRH",500
"chr1",167720984,167721484,"MPZL1",500
"chr6",1609079,1609579,"FOXC1",500
"chr21",45406896,45407396,"COL18A1",500
"chr15",75462283,75462783,"PTPN9",500
"chr11",125625973,125626473,"CHEK1",500
"chr13",39009012,39009512,"PROSER1",500
"chr6",25281357,25281857,"CARMIL1",500
"chr7",101362117,101362617,"COL26A1",500
"chr11",61751592,61752092,"MYRF",500
"chr14",70642403,70642903,"TTC9",500
"chr1",154156120,154156620,"TPM3",500
"chr18",315770,316270,"COLEC12",500
"chr1",40979031,40979531,"CTPS1",500
"chr3",15450607,15451107,"COLQ",500
"chr3",196933503,196934003,"NCBP2",500
"chr7",105436953,105437453,"PUS7",500
"chr18",10455379,10455879,"APCDD1",500
"chr5",34658983,34659483,"RAI14",500
"chr8",125431286,125431786,"TRIB1",500
"chr9",129887787,129888287,"FNBP1",500
"chr3",10027119,10027619,"FANCD2",500
"chr13",39006969,39007469,"PROSER1",500
"chr19",36712365,36712865,"ZNF850",500
"chr1",64469446,64469946,"CACHD1",500
"chr3",152833700,152834200,"P2RY1",500
"chr12",47972658,47973158,"COL2A1",500
"chr9",131010598,131011098,"LAMC3",500
"chr5",150297291,150297791,"ARSI",500
"chr8",27636693,27637193,"SCARA3",500
"chr1",201484929,201485429,"CSRP1",500
"chr10",106572185,106572685,"SORCS1",500
"chr20",2795476,2795976,"CPXM1",500
"chr1",149927587,149928087,"MTMR11",500
"chr17",55719552,55720052,"TMEM100",500
"chr11",61754534,61755034,"MYRF",500
"chr1",206510059,206510559,"RASSF5",500
"chr6",20403431,20403931,"E2F3",500
"chr17",42825734,42826234,"PSME3",500
"chr10",121478258,121478758,"FGFR2",500
"chr6",43519344,43519844,"XPO5",500
"chr9",71680853,71681353,"CEMIP2",500
"chr7",75531649,75532149,"HIP1",500
"chr17",4582568,4583068,"SMTNL2",500
"chr10",22533350,22533850,"PIP4K2A",500
"chr15",89576723,89577223,"TICRR",500
"chr2",25226108,25226608,"DNMT3A",500
"chr12",44505815,44506315,"NELL2",500
"chr10",69802905,69803405,"COL13A1",500
"chr6",85448482,85448982,"NT5E",500
"chr10",106572165,106572665,"SORCS1",500
"chr9",136493741,136494241,"NOTCH1",500
"chr17",44922341,44922841,"KIF18B",500
"chr12",47970788,47971288,"COL2A1",500
"chr1",46247084,46247584,"RAD54L",500
"chr6",85452324,85452824,"NT5E",500
"chr3",152834741,152835241,"P2RY1",500
"chr1",47215291,47215791,"TAL1",500
"chr10",100347778,100348278,"SCD",500
"chr15",101175859,101176359,"CHSY1",500
"chr10",121476799,121477299,"FGFR2",500
"chr8",27636573,27637073,"SCARA3",500
"chr14",69852759,69853259,"SMOC1",500
"chr2",11480883,11481383,"GREB1",500
"chr3",196934051,196934551,"NCBP2",500
"chr1",64469219,64469719,"CACHD1",500
"chr20",62460640,62461140,"GATA5",500
"chr15",75464448,75464948,"PTPN9",500
"chr15",41559130,41559630,"TYRO3",500
"chr9",36039514,36040014,"RECK",500
"chr1",47214833,47215333,"TAL1",500
"chr12",44509328,44509828,"NELL2",500
"chr4",20254886,20255386,"SLIT2",500
"chr19",39413565,39414065,"PLEKHG2",500
"chr21",45406936,45407436,"COL18A1",500
"chr1",201484778,201485278,"CSRP1",500
"chr11",125624471,125624971,"CHEK1",500
"chr10",89430105,89430605,"SLC16A12",500
"chr1",206470714,206471214,"IKBKE",500
"chr3",152834993,152835493,"P2RY1",500
"chr3",196934695,196935195,"NCBP2",500
"chr9",131012097,131012597,"LAMC3",500
"chr17",79779742,79780242,"CBX2",500
"chr10",123704361,123704861,"CPXM2",500
"chr11",119096473,119096973,"DPAGT1",500
"chr8",125429534,125430034,"TRIB1",500
"chr9",115017260,115017760,"TNC",500
"chr20",62463569,62464069,"GATA5",500
"chr20",32190021,32190521,"PLAGL2",500
"chr8",27635081,27635581,"SCARA3",500
"chr5",168293832,168294332,"WWC1",500
"chr9",131008329,131008829,"LAMC3",500
"chr2",96337868,96338368,"NCAPH",500
"chr1",64469469,64469969,"CACHD1",500
"chr15",80780606,80781106,"CEMIP",500
"chr17",79929716,79930216,"TBC1D16",500
"chr2",215357511,215358011,"FN1",500
"chr18",318045,318545,"COLEC12",500
"chr1",206471753,206472253,"IKBKE",500
"chr10",89430293,89430793,"SLC16A12",500
"chr9",131008857,131009357,"LAMC3",500
"chr7",69597791,69598291,"AUTS2",500
"chr15",89575341,89575841,"TICRR",500
"chr1",157992734,157993234,"KIRREL1",500
"chr7",101362171,101362671,"COL26A1",500
"chr2",25226788,25227288,"DNMT3A",500
"chr5",76613429,76613929,"F2RL2",500
"chr21",33641106,33641606,"ITSN1",500
"chr9",113222868,113223368,"SLC31A1",500
"chr5",76715482,76715982,"F2R",500
"chr9",136493171,136493671,"NOTCH1",500
"chr5",32687908,32688408,"NPR3",500
"chr22",21419655,21420155,"HIC2",500
"chr7",69601292,69601792,"AUTS2",500
"chr6",1610560,1611060,"FOXC1",500
"chr17",50561728,50562228,"CACNA1G",500
"chr15",41557864,41558364,"TYRO3",500
"chr10",121477573,121478073,"FGFR2",500
"chr2",68861142,68861642,"BMP10",500
"chrX",2830400,2830900,"GYG2",500
"chr10",22534052,22534552,"PIP4K2A",500
"chr17",8473177,8473677,"MYH10",500
"chr19",799288,799788,"PTBP1",500
"chr21",45494718,45495218,"SLC19A1",500
"chr1",43990166,43990666,"SLC6A9",500
"chr17",55718444,55718944,"TMEM100",500
"chr3",101829248,101829748,"NFKBIZ",500
"chr14",24398938,24399438,"NYNRIN",500
"chr1",157991952,157992452,"KIRREL1",500
"chr14",24401881,24402381,"NYNRIN",500
"chr3",101829406,101829906,"NFKBIZ",500
"chr3",152835260,152835760,"P2RY1",500
"chr3",48158319,48158819,"CDC25A",500
"chr14",76761459,76761959,"VASH1",500
"chr2",1629994,1630494,"PXDN",500
"chr11",77067354,77067854,"CAPN5",500
"chr16",87827421,87827921,"SLC7A5",500
"chr1",167723880,167724380,"MPZL1",500
"chr1",160116513,160117013,"ATP1A2",500
"chr17",42751318,42751818,"RAMP2-AS1",500
"chr14",69854340,69854840,"SMOC1",500
"chr20",2792657,2793157,"CPXM1",500
"chr4",108045447,108045947,"LEF1",500
"chr5",34657836,34658336,"RAI14",500
"chr22",27852489,27852989,"PITPNB",500
"chr17",62966917,62967417,"TANC2",500
"chr8",103154465,103154965,"BAALC-AS1",500
"chr16",64944996,64945496,"CDH11",500
"chr8",103154659,103155159,"BAALC-AS1",500
"chr9",87496381,87496881,"DAPK1",500
"chr9",113220855,113221355,"SLC31A1",500
"chr3",129975112,129975612,"TRH",500
"chr1",43991924,43992424,"SLC6A9",500
"chr1",29236182,29236682,"PTPRU",500
"chr22",27850333,27850833,"PITPNB",500
"chr6",82362658,82363158,"TPBG",500
"chr15",88623972,88624472,"AEN",500
"chr5",32689100,32689600,"NPR3",500
"chr14",76761858,76762358,"VASH1",500
"chr8",125432071,125432571,"TRIB1",500
"chr17",8473964,8474464,"MYH10",500
"chr2",96337368,96337868,"NCAPH",500
"chr1",149903584,149904084,"SV2A",500
"chr1",43990358,43990858,"SLC6A9",500
"chr3",152834287,152834787,"P2RY1",500
"chr12",74540087,74540587,"ATXN7L3B",500
"chr1",156719837,156720337,"ISG20L2",500
"chr9",113220405,113220905,"SLC31A1",500
"chr5",122313282,122313782,"SNCAIP",500
"chr14",69855054,69855554,"SMOC1",500
"chr1",157993738,157994238,"KIRREL1",500
"chr7",2633618,2634118,"TTYH3",500
"chr6",2887271,2887771,"SERPINB9",500
"chr22",27849875,27850375,"PITPNB",500
"chr9",131009961,131010461,"LAMC3",500
"chr1",206472616,206473116,"IKBKE",500
"chr3",133930231,133930731,"SLCO2A1",500
"chr1",29237024,29237524,"PTPRU",500
"chr1",168079012,168079512,"GPR161",500
"chr20",62460611,62461111,"GATA5",500
"chr15",41559904,41560404,"TYRO3",500
"chr15",88620928,88621428,"AEN",500
"chr17",62964853,62965353,"TANC2",500
"chr5",76612487,76612987,"F2RL2",500
"chr10",13163370,13163870,"MCM10",500
"chr1",160400038,160400538,"VANGL2",500
"chr5",83635613,83636113,"HAPLN1",500
"chr1",168079740,168080240,"GPR161",500
"chr10",119726186,119726686,"INPP5F",500
"chr11",119093545,119094045,"DPAGT1",500
"chr7",69600537,69601037,"AUTS2",500
"chr6",2884550,2885050,"SERPINB9",500
"chr17",42824023,42824523,"PSME3",500
"chr15",101176296,101176796,"CHSY1",500
"chr21",43659408,43659908,"RRP1B",500
"chr10",119729025,119729525,"INPP5F",500
"chr10",100347670,100348170,"SCD",500
"chr1",201483252,201483752,"CSRP1",500
"chrX",71254159,71254659,"NONO",500
"chr5",32690715,32691215,"NPR3",500
"chr6",85448262,85448762,"NT5E",500
"chr19",29813028,29813528,"CCNE1",500
"chr19",4905944,4906444,"UHRF1",500
"chr19",39411507,39412007,"PLEKHG2",500
"chr14",24401802,24402302,"NYNRIN",500
"chr14",69856439,69856939,"SMOC1",500
"chr17",79780919,79781419,"CBX2",500
"chr14",70643067,70643567,"TTC9",500
"chrX",2830385,2830885,"GYG2",500
"chr9",36038372,36038872,"RECK",500
"chr1",206507669,206508169,"RASSF5",500
"chr10",15513656,15514156,"ITGA8",500
"chr5",76616555,76617055,"F2RL2",500
"chr5",150293497,150293997,"ARSI",500
"chr20",6768343,6768843,"BMP2",500
"chr6",89094343,89094843,"SRSF12",500
"chr7",150990466,150990966,"NOS3",500
"chr6",1609923,1610423,"FOXC1",500
"chrX",71254318,71254818,"NONO",500
"chr9",131011427,131011927,"LAMC3",500
"chr3",48156049,48156549,"CDC25A",500
"chr6",43079066,43079566,"PTK7",500
"chr15",41560411,41560911,"TYRO3",500
"chr3",184561860,184562360,"EPHB3",500
"chr3",139935385,139935885,"CLSTN2",500
"chr10",121477651,121478151,"FGFR2",500
"chr17",73335377,73335877,"SDK2",500
"chr5",147388553,147389053,"DPYSL3",500
"chr3",10027146,10027646,"FANCD2",500
"chr21",31119708,31120208,"TIAM1",500
"chr8",125432800,125433300,"TRIB1",500
"chr3",15448902,15449402,"COLQ",500
"chr5",83637217,83637717,"HAPLN1",500
"chr16",64943546,64944046,"CDH11",500
"chr11",77069451,77069951,"CAPN5",500
"chr3",15449718,15450218,"COLQ",500
"chr6",89095905,89096405,"SRSF12",500
"chr17",50108868,50109368,"SAMD14",500
"chr11",119095251,119095751,"DPAGT1",500
"chr1",64471695,64472195,"CACHD1",500
"chr1",52682714,52683214,"COA7",500
"chr19",39411298,39411798,"PLEKHG2",500
"chr3",133933305,133933805,"SLCO2A1",500
"chr9",86025542,86026042,"GOLM1",500
"chr1",40978076,40978576,"CTPS1",500
"chr5",150297790,150298290,"ARSI",500
"chr9",113222214,113222714,"SLC31A1",500
"chr1",46247978,46248478,"RAD54L",500
"chr5",168662411,168662911,"SLIT3",500
"chr12",74537308,74537808,"ATXN7L3B",500
"chr4",4350900,4351400,"NSG1",500
"chr10",106571935,106572435,"SORCS1",500
"chr8",27635477,27635977,"SCARA3",500
"chr3",186047452,186047952,"ETV5",500
"chr7",2633729,2634229,"TTYH3",500
"chr8",121612825,121613325,"HAS2",500
"chr9",36035464,36035964,"RECK",500
"chr5",76614558,76615058,"F2RL2",500
"chr2",25226235,25226735,"DNMT3A",500
"chr16",51137147,51137647,"SALL1",500
"chr4",20251316,20251816,"SLIT2",500
"chr3",101830732,101831232,"NFKBIZ",500
"chr12",47973201,47973701,"COL2A1",500
"chr1",38994192,38994692,"AKIRIN1",500
"chr15",88624127,88624627,"AEN",500
"chr16",87830723,87831223,"SLC7A5",500
"chr9",86026189,86026689,"GOLM1",500
"chr1",167723051,167723551,"MPZL1",500
"chr17",1516369,1516869,"PITPNA",500
"chr6",82362207,82362707,"TPBG",500
"chr1",167720523,167721023,"MPZL1",500
"chr1",156721339,156721839,"ISG20L2",500
"chr16",51135105,51135605,"SALL1",500
"chr1",40979212,40979712,"CTPS1",500
"chr15",66700933,66701433,"SMAD6",500
"chr6",34235735,34236235,"HMGA1",500
"chr3",184561287,184561787,"EPHB3",500
"chr8",27634433,27634933,"SCARA3",500
"chr2",1632106,1632606,"PXDN",500
"chr16",56729268,56729768,"NUP93",500
"chr15",66701034,66701534,"SMAD6",500
"chr22",21419272,21419772,"HIC2",500
"chr6",89094036,89094536,"SRSF12",500
"chr2",205684730,205685230,"NRP2",500
"chr17",62968891,62969391,"TANC2",500
"chr7",69597035,69597535,"AUTS2",500
"chr1",21214391,21214891,"ECE1",500
"chr16",51133264,51133764,"SALL1",500
"chr9",129885729,129886229,"FNBP1",500
"chr16",28261411,28261911,"SBK1",500
"chr9",129885214,129885714,"FNBP1",500
"chr5",76718285,76718785,"F2R",500
"chr1",226551018,226551518,"STUM",500
"chr11",125167352,125167852,"PKNOX2",500
"chrX",9785306,9785806,"SHROOM2",500
"chr17",1516720,1517220,"PITPNA",500
"chr3",10025025,10025525,"FANCD2",500
"chr16",1154819,1155319,"CACNA1H",500
"chrX",2831742,2832242,"GYG2",500
"chr17",79931598,79932098,"TBC1D16",500
"chr1",40979086,40979586,"CTPS1",500
"chr19",19386178,19386678,"GATAD2A",500
"chr4",108047786,108048286,"LEF1",500
"chr10",22532599,22533099,"PIP4K2A",500
"chr1",28505221,28505721,"RCC1",500
"chr5",147390823,147391323,"DPYSL3",500
"chr9",87495927,87496427,"DAPK1",500
"chr17",48996412,48996912,"IGF2BP1",500
"chr5",83638170,83638670,"HAPLN1",500
"chr1",47215490,47215990,"TAL1",500
"chr3",139935777,139936277,"CLSTN2",500
"chr3",196934452,196934952,"NCBP2",500
"chr5",147389918,147390418,"DPYSL3",500
"chr8",103151357,103151857,"BAALC-AS1",500
"chr1",29236788,29237288,"PTPRU",500
"chr10",71215401,71215901,"UNC5B",500
"chr2",11484692,11485192,"GREB1",500
"chr4",108047413,108047913,"LEF1",500
"chr17",42823196,42823696,"PSME3",500
"chr19",36713962,36714462,"ZNF850",500
"chrX",9787724,9788224,"SHROOM2",500
"chr21",45493423,45493923,"SLC19A1",500
"chr15",75464746,75465246,"PTPN9",500
"chr1",157991840,157992340,"KIRREL1",500
"chr16",64941784,64942284,"CDH11",500
"chr1",168080996,168081496,"GPR161",500
"chr12",47973171,47973671,"COL2A1",500
"chr6",43075720,43076220,"PTK7",500
"chr18",10455477,10455977,"APCDD1",500
"chr16",56732453,56732953,"NUP93",500
"chr6",2885172,2885672,"SERPINB9",500
"chr17",4585834,4586334,"SMTNL2",500
"chr17",1514905,1515405,"PITPNA",500
"chr3",10028881,10029381,"FANCD2",500
"chr8",121610738,121611238,"HAS2",500
"chr1",89181285,89181785,"GBP4",500
"chr10",100349563,100350063,"SCD",500
"chr10",121476397,121476897,"FGFR2",500
"chr9",113223092,113223592,"SLC31A1",500
"chr10",5411817,5412317,"NET1",500
"chr17",73333159,73333659,"SDK2",500
"chr17",50110194,50110694,"SAMD14",500
"chr2",218710218,218710718,"TTLL4",500
"chr7",75530869,75531369,"HIP1",500
"chr6",82362368,82362868,"TPBG",500
"chr16",1151809,1152309,"CACNA1H",500
"chr17",62965058,62965558,"TANC2",500
"chr20",62462425,62462925,"GATA5",500
"chr2",11481983,11482483,"GREB1",500
"chr17",44925140,44925640,"KIF18B",500
"chr17",62967039,62967539,"TANC2",500
"chr20",2791229,2791729,"CPXM1",500
"chr1",64469528,64470028,"CACHD1",500
"chr11",125626817,125627317,"CHEK1",500
"chr6",20402538,20403038,"E2F3",500
"chr18",315836,316336,"COLEC12",500
"chr9",129885038,129885538,"FNBP1",500
"chr1",47215396,47215896,"TAL1",500
"chr17",44924715,44925215,"KIF18B",500
"chr17",62968303,62968803,"TANC2",500
"chr1",160399197,160399697,"VANGL2",500
"chr1",916574,917074,"LINC02593",500
"chr10",5412851,5413351,"NET1",500
"chr17",55718138,55718638,"TMEM100",500
"chr5",34655608,34656108,"RAI14",500
"chr3",15447954,15448454,"COLQ",500
"chr9",115019999,115020499,"TNC",500
"chr13",38685619,38686119,"FREM2",500
"chr8",103152340,103152840,"BAALC-AS1",500
"chr22",21415927,21416427,"HIC2",500
"chr20",32190505,32191005,"PLAGL2",500
"chrX",132025529,132026029,"STK26",500
"chr3",129974227,129974727,"TRH",500
"chr16",64942784,64943284,"CDH11",500
"chr8",103152296,103152796,"BAALC-AS1",500
"chr3",10028105,10028605,"FANCD2",500
"chr7",2634633,2635133,"TTYH3",500
"chrX",15465852,15466352,"BMX",500
"chrX",15463697,15464197,"BMX",500
"chr4",1794486,1794986,"FGFR3",500
"chr19",799269,799769,"PTBP1",500
"chr3",133931392,133931892,"SLCO2A1",500
"chr10",89427346,89427846,"SLC16A12",500
"chr1",43991504,43992004,"SLC6A9",500
"chr9",128456394,128456894,"ODF2",500
"chr6",47232427,47232927,"TNFRSF21",500
"chr14",69853899,69854399,"SMOC1",500
"chr8",121610045,121610545,"HAS2",500
"chr10",22535719,22536219,"PIP4K2A",500
"chr20",32191210,32191710,"PLAGL2",500
"chr5",76717219,76717719,"F2R",500
"chr4",2060012,2060512,"NAT8L",500
"chr1",160403265,160403765,"VANGL2",500
"chr15",89576634,89577134,"TICRR",500
"chrX",132023962,132024462,"STK26",500
"chr15",80780860,80781360,"CEMIP",500
"chr7",69597925,69598425,"AUTS2",500
"chr2",205681138,205681638,"NRP2",500
"chr6",43519944,43520444,"XPO5",500
"chr7",33904719,33905219,"BMPER",500
"chr4",110045019,110045519,"ELOVL6",500
"chr11",125164694,125165194,"PKNOX2",500
"chr9",87498080,87498580,"DAPK1",500
"chr11",35945246,35945746,"LDLRAD3",500
"chr22",27849754,27850254,"PITPNB",500
"chr10",15513566,15514066,"ITGA8",500
"chr3",184560764,184561264,"EPHB3",500
"chr17",55717632,55718132,"TMEM100",500
"chr1",21218716,21219216,"ECE1",500
"chr15",65531343,65531843,"HACD3",500
"chr16",46689410,46689910,"ORC6",500
"chr4",20252635,20253135,"SLIT2",500
"chr7",75531147,75531647,"HIP1",500
"chr17",8475224,8475724,"MYH10",500
"chr1",160115152,160115652,"ATP1A2",500
"chr17",42825064,42825564,"PSME3",500
"chr1",47213650,47214150,"TAL1",500
"chr1",201483822,201484322,"CSRP1",500
