sample_1	sample_2	sample_3	sample_4	sample_5	sample_6	sample_7	sample_8	sample_9	sample_10	sample_12	sample_13	sample_14	sample_16	sample_17	sample_18	sample_19	sample_20	sample_21	sample_22	sample_23	sample_24	sample_25	sample_27	sample_28	sample_29	sample_30	sample_31	sample_32	sample_33	sample_34	sample_35	sample_36	sample_37	sample_38	sample_39	sample_40
hsa-miR-323b-3p	79	66	309	131	128	39	144	82	77	200	47	135	47	315	242	137	328	163	70	264	276	144	242	152	232	136	108	149	270	474	49	201	109	357	380	478	45
hsa-miR-4422	0	0	0	0	1	0	0	3	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0
hsa-mir-1910	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0
hsa-miR-4435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
hsa-miR-6818-3p	2	1	6	3	7	2	3	1	2	1	0	1	2	5	4	2	2	4	1	1	2	1	3	2	1	3	3	3	5	5	3	2	4	6	11	9	2
hsa-miR-519c-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-7108-3p	0	0	0	2	0	1	0	1	0	0	0	1	0	0	3	0	0	1	1	0	0	0	0	0	1	0	0	0	1	3	0	0	1	2	3	1	0
hsa-miR-6806-5p	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-302a-5p	27	17	37	35	35	54	61	38	27	10	43	36	36	31	56	44	46	69	57	76	35	74	66	108	65	23	27	41	64	64	51	45	55	45	87	71	24
hsa-miR-6747-3p	5	5	30	13	5	12	7	4	9	35	7	10	5	12	19	5	38	5	16	10	29	7	10	6	48	3	5	8	11	43	5	18	6	19	92	47	10
hsa-miR-4431	0	1	0	0	1	2	0	0	0	1	1	3	1	1	0	0	1	0	0	0	0	0	0	1	1	3	0	0	1	0	0	0	0	1	0	1	0
hsa-miR-3115	4	0	6	5	1	5	0	2	2	0	3	4	4	8	4	3	4	2	1	9	4	4	3	5	4	2	4	2	1	3	2	2	3	2	10	17	0
hsa-miR-4447	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4449	1	0	1	0	3	0	1	0	0	1	0	0	4	0	0	0	0	0	2	0	1	1	5	1	1	0	2	0	1	1	1	0	2	1	0	0	0
hsa-miR-3150a-3p	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-324-3p	63	33	50	84	11	81	178	129	30	48	51	71	243	82	56	56	51	42	37	103	32	63	38	98	39	33	51	55	52	44	60	65	59	64	54	67	44
hsa-miR-216a-3p	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-548am-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-4632-5p	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-6715b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-4441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-4440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0
hsa-miR-4443	23	15	38	78	23	41	5	6	12	5	8	7	25	8	4	14	0	9	7	1	9	15	11	21	9	7	14	20	6	8	16	8	37	8	22	1	5
hsa-miR-4442	0	1	1	4	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0
hsa-miR-331-5p	67	92	123	119	68	96	111	77	57	57	76	85	126	114	62	84	80	70	84	93	88	72	102	97	50	82	113	76	89	85	69	91	67	112	101	92	47
hsa-miR-4732-5p	0	0	1	0	0	0	2	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-499a-5p	82893	27640	37271	160917	38503	87856	98097	142277	27929	13083	123137	76546	84517	56518	38045	55107	27426	50932	38080	46574	27612	103343	103707	83496	25413	83976	121370	114334	43396	27479	90520	35137	113065	43308	24110	33656	12466
hsa-miR-371a-3p	34	48	12	59	43	54	34	55	34	4	36	14	36	6	5	17	9	13	9	21	8	19	22	31	3	39	51	17	17	5	41	6	33	9	13	7	7
hsa-miR-193a-3p	5	4	0	15	1	8	38	474	2	20	6	2	13	2	3	9	7	1	4	8	3	3	5	5	2	3	9	3	3	1	5	0	1	3	3	9	4
hsa-miR-744-3p	4	6	12	11	11	6	35	46	7	12	7	21	24	30	15	16	21	10	14	18	2	15	9	20	9	11	12	11	17	18	16	23	5	11	17	23	10
hsa-miR-520d-5p	0	1	0	1	1	0	3	8	1	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0
hsa-miR-93-5p	11261	3483	12287	16212	6505	13059	19066	10464	5232	3698	12184	14437	15985	20177	10920	14087	10151	12670	8302	16284	9122	15388	14703	18531	8778	9770	13101	12779	11486	10935	12633	11980	13160	14417	7515	10681	2686
hsa-miR-219b-3p	0	0	1	3	2	0	3	4	0	0	3	0	0	0	0	0	1	0	1	0	0	0	1	0	0	2	1	0	0	0	0	0	1	0	0	0	2
hsa-miR-6129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-30c-2-3p	251	292	272	432	305	388	285	124	270	97	276	282	595	232	277	293	204	229	252	343	261	273	380	408	263	371	434	326	284	251	387	305	354	350	220	280	219
hsa-miR-6124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-1180-3p	462	383	900	767	413	745	811	428	610	567	368	454	839	760	857	463	1162	406	650	711	919	526	736	807	1161	478	662	524	699	1361	560	700	488	881	2028	1521	609
hsa-miR-6765-3p	1	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1
hsa-miR-6127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-4756-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-6126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-2278	1	3	0	1	0	3	1	3	0	2	0	0	3	4	4	2	2	0	1	0	2	0	0	1	2	1	0	1	0	5	0	2	2	2	0	0	0
hsa-mir-2277	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	2	1	1	0	0	0
hsa-miR-367-3p	0	0	0	2	0	1	4	102	1	3	2	0	4	0	0	3	1	1	0	0	0	2	2	2	0	2	1	0	1	0	0	0	0	1	0	1	0
hsa-mir-2276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-331-3p	1067	1119	1165	1724	747	1444	1425	1322	1295	706	1042	1095	4196	965	941	1659	969	813	668	1155	704	693	894	1562	462	1114	1408	1071	897	694	1483	1632	1123	831	591	713	1216
hsa-miR-499a-3p	31	3	4	38	15	66	85	3682	8	94	91	47	65	12	22	34	27	22	17	43	8	15	29	18	7	28	35	49	21	27	21	12	55	20	38	43	23
hsa-miR-6130	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	1	0	0
hsa-miR-520d-3p	1	0	0	3	0	2	1	6	0	0	3	0	1	0	0	2	0	1	1	0	0	0	0	1	0	1	2	0	1	1	0	0	1	3	0	0	1
hsa-miR-93-3p	108	39	182	147	58	96	196	164	51	125	101	148	179	274	127	122	199	104	103	127	121	104	182	161	110	136	126	103	121	205	104	142	99	182	157	178	57
hsa-miR-6132	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	2	0	1	0	0	0	0	0	1	1	1	0	0	0	0	2
hsa-miR-219b-5p	4	0	2	6	1	2	9	8	3	3	2	2	4	5	2	1	4	3	3	3	2	4	5	4	3	2	1	4	3	5	3	4	3	0	5	4	2
hsa-miR-6133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-6890-5p	0	0	1	1	0	2	1	0	0	0	1	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-371a-5p	194	141	81	349	295	190	185	146	105	21	222	115	169	64	53	114	61	155	86	194	99	226	209	190	42	186	216	204	205	30	265	70	178	228	56	19	25
hsa-mir-3591	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0
hsa-miR-138-2-3p	2	0	0	0	0	3	0	1	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	1	0	0	0	1	0	0	1	0	2	0	1	1	0
hsa-miR-744-5p	684	1188	2647	1123	1202	1294	1073	484	1170	2078	932	972	1185	2387	2160	1324	2933	1113	2128	1124	3644	1062	1563	1260	3189	603	912	953	1918	3225	976	2112	1045	2869	4137	3322	1857
hsa-miR-6777-3p	0	0	4	1	0	1	3	0	2	0	0	2	2	1	0	0	2	1	1	0	1	0	2	1	1	0	0	1	1	1	0	0	1	0	1	2	0
hsa-miR-6765-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1
hsa-miR-6889-5p	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	1	0	0	1	1	1	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0
hsa-let-7b-3p	124	81	72	116	112	142	267	174	38	43	90	94	189	58	35	69	42	71	46	102	63	82	100	101	37	75	99	104	117	35	85	59	80	83	12	29	17
hsa-mir-1273c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-6514-3p	6	1	6	7	5	14	4	1	4	2	4	8	3	3	5	5	7	1	4	5	7	5	4	5	12	3	8	4	7	10	4	3	3	3	11	11	0
hsa-mir-1273h	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	1	0	1
hsa-miR-3944-3p	0	0	1	1	1	1	2	1	0	0	0	2	3	1	2	3	0	0	0	0	1	2	0	1	0	2	2	1	1	0	0	1	1	0	0	1	0
hsa-miR-1911-5p	1	0	9	1	1	0	0	0	1	1	0	0	3	4	2	0	8	0	3	6	3	3	2	1	9	0	2	2	2	5	0	4	2	1	3	27	3
hsa-mir-664b	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
hsa-mir-7973-2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-664a	1	0	0	2	0	1	2	12	1	1	2	0	3	0	1	3	2	0	2	1	1	1	0	0	0	1	0	0	2	1	1	1	0	0	2	2	0
hsa-miR-494-3p	777	266	2064	1411	581	521	2589	1963	434	914	646	1743	1225	2750	1412	1472	1601	1383	870	2819	985	1379	1653	1259	858	951	895	1008	2049	1731	1146	1930	900	2156	883	1643	393
hsa-miR-6502-5p	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-6728-5p	0	0	0	1	2	1	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	2	1	1	3	0	0	0	1	0	2	1	3	0	4	1	1
hsa-miR-6890-3p	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-7974	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
hsa-miR-4768-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-mir-7976	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0
hsa-miR-6789-3p	0	3	10	0	3	4	3	1	2	3	0	2	5	2	4	1	6	1	2	0	8	2	3	2	11	3	3	3	1	12	4	1	3	7	17	6	4
hsa-miR-3074-3p	1	0	1	1	0	2	0	3	0	0	1	2	0	3	2	0	1	1	0	2	0	2	1	2	2	3	1	1	2	1	4	1	2	4	1	3	1
hsa-mir-4433b	0	1	1	0	1	1	0	0	2	0	0	1	2	1	0	0	1	0	0	1	1	0	0	0	0	2	0	0	0	0	1	0	0	0	2	1	0
hsa-miR-1185-1-3p	112	38	223	238	90	126	358	381	74	181	136	211	351	336	187	217	182	152	87	241	120	212	197	171	168	85	98	195	181	225	161	185	161	280	165	205	43
hsa-miR-203a-5p	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	1	0
hsa-miR-6777-5p	0	0	2	1	0	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1
hsa-mir-101-1	12	2	2	8	3	1	11	166	1	5	8	6	10	2	3	4	0	4	1	3	1	9	1	17	1	2	10	4	0	1	7	2	9	1	2	1	0
hsa-mir-101-2	9	5	4	7	5	10	6	21	3	5	8	5	10	3	3	13	3	4	3	11	0	7	13	13	4	5	14	6	1	1	6	5	5	2	1	8	4
hsa-mir-7978	0	0	3	1	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
hsa-miR-3692-5p	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
hsa-mir-7977	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3692-3p	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-6889-3p	1	1	2	0	0	0	1	3	1	2	0	0	1	0	0	0	2	1	2	1	1	0	0	1	1	0	1	1	0	1	1	2	0	0	4	0	0
hsa-let-7b-5p	11592	9807	3898	20447	9666	18518	17636	18366	3880	2122	9922	8472	12436	3523	4976	8921	1679	7092	7036	10401	3605	11399	12915	14519	2009	16668	14868	10402	6921	1653	15342	4097	12166	4585	1106	1861	2898
hsa-miR-3680-5p	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3944-5p	0	1	0	1	0	0	1	0	0	0	0	1	0	1	0	2	0	0	1	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	2	1	0
hsa-miR-5586-5p	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-1911-3p	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0
hsa-miR-6877-5p	0	2	1	2	1	2	1	0	0	1	0	1	1	1	0	0	1	0	0	0	2	0	1	0	0	2	0	0	2	0	0	4	0	1	1	1	0
hsa-miR-6728-3p	0	0	0	1	2	1	1	2	0	2	0	0	0	1	1	1	1	0	0	2	0	2	1	1	3	0	0	0	0	1	0	0	1	0	2	1	0
hsa-miR-570-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6789-5p	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	3	1
hsa-miR-6716-5p	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
hsa-miR-203a-3p	434	235	439	662	325	394	455	480	234	121	404	336	134	562	438	654	219	553	442	437	365	585	739	529	354	439	245	286	508	324	408	425	385	319	107	429	63
hsa-miR-4756-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-1180-5p	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	1	1	1	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	1	1	0
hsa-miR-199b-3p	0	0	0	0	0	0	1	1	0	0	2	3	0	2	0	1	1	1	0	0	1	2	0	0	1	0	0	1	0	0	1	0	0	1	1	0	0
hsa-miR-3920	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-3921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-3923	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	2	0	1	1	0	0	0	0	0	2
hsa-miR-3926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6801-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	2	1	0
hsa-miR-3929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-mir-29a	90	82	115	156	93	166	108	102	81	50	107	99	155	106	66	96	81	66	93	153	80	113	177	86	81	122	140	127	101	88	109	85	170	131	102	137	41
hsa-mir-29c	7	23	6	17	7	4	11	34	14	3	7	7	25	9	4	9	6	5	5	10	10	3	11	15	5	15	14	9	11	9	8	8	8	3	3	3	16
hsa-miR-517-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-4684-3p	0	0	0	0	2	0	0	0	1	1	3	0	0	0	1	1	0	0	0	1	1	0	0	0	0	1	0	1	2	0	0	0	1	0	0	0	1
hsa-miR-3935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-500b-3p	0	3	3	0	1	1	2	0	0	1	2	6	2	4	5	3	2	3	2	2	4	0	1	1	1	1	2	0	5	7	1	4	3	3	5	7	5
hsa-miR-3936	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3938	2	8	7	3	3	3	5	2	1	0	1	2	4	6	11	2	2	2	11	5	10	6	0	6	3	4	3	1	4	8	3	7	2	4	4	5	2
hsa-miR-3939	3	1	2	3	5	0	1	2	2	1	0	1	0	2	3	1	6	2	2	0	4	2	0	1	4	0	0	2	5	5	0	3	0	1	13	8	0
hsa-miR-6825-3p	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-582-3p	53	187	118	80	103	65	82	54	167	76	50	76	81	65	51	69	85	43	106	80	106	57	79	81	51	65	83	48	72	83	42	108	45	111	49	95	66
hsa-mir-296	23	21	57	58	39	39	60	20	41	41	47	66	79	102	52	44	84	34	47	73	76	43	60	52	61	29	40	45	62	94	35	71	37	82	84	94	44
hsa-miR-6813-5p	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	1	1	0	1	2	2	0	1	0	0	0	2	0	0	1	0	0
hsa-mir-298	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
hsa-mir-299	33	19	47	69	14	47	122	166	24	27	31	59	112	65	25	55	18	35	33	54	22	52	60	49	17	39	46	75	36	37	64	38	50	51	21	39	16
hsa-miR-3941	1	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	3	0	0	1	0
hsa-miR-3943	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-6801-3p	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	2	0	1	0	0	0	0	0	2	1	0	0	2	1	0
hsa-miR-4707-3p	3	1	0	1	0	1	9	7	3	1	0	6	24	2	4	18	1	2	2	3	1	2	0	8	1	0	5	7	0	1	3	0	0	0	0	1	1
hsa-miR-656-3p	211	69	531	535	83	331	946	849	59	149	200	543	414	689	347	350	307	308	166	811	91	332	362	310	157	191	297	278	334	312	358	417	247	447	175	332	70
hsa-mir-27b	819	579	533	1236	746	1017	555	389	332	145	1013	529	765	471	602	809	488	704	746	795	620	935	1292	1054	512	1087	1440	1019	678	441	1140	637	1336	755	388	630	269
hsa-mir-27a	10	4	13	26	4	7	13	59	5	7	11	7	8	8	13	10	13	9	14	10	8	13	13	39	9	7	14	16	9	14	18	5	21	16	9	15	6
hsa-miR-1233-5p	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-6837-3p	2	0	4	0	1	1	0	0	1	0	2	0	2	0	0	2	0	1	1	0	0	1	0	0	1	0	0	1	0	1	3	2	1	2	3	4	0
hsa-miR-144-5p	481	145	162	598	179	545	1962	1559	161	56	905	608	623	292	313	504	111	383	157	918	100	439	529	884	92	1314	1479	1198	415	84	708	153	849	321	61	129	52
hsa-miR-582-5p	69	22	41	96	14	67	240	346	30	16	60	115	267	70	47	80	26	49	19	131	17	63	67	97	30	61	93	65	36	34	67	61	55	66	17	27	9
hsa-miR-500b-5p	0	0	0	1	0	0	2	4	0	0	2	1	1	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	2	0	1	0	0	0	0
hsa-miR-4684-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
hsa-miR-6825-5p	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-513b-5p	0	0	1	2	0	0	1	2	0	1	1	0	0	4	1	3	3	0	3	2	0	0	0	0	3	0	0	0	0	4	0	1	0	0	0	2	1
hsa-mir-26b	525	333	487	806	393	719	1004	1126	175	85	577	594	341	564	399	464	354	459	481	652	359	687	713	600	373	662	751	660	510	385	632	442	715	487	364	419	100
hsa-miR-656-5p	3	1	3	2	4	4	2	1	0	0	3	1	3	0	3	1	3	0	2	2	2	2	2	4	0	1	2	2	2	1	4	1	4	2	2	0	1
hsa-miR-3127-5p	2	1	3	3	4	4	2	0	2	0	0	0	1	5	1	2	3	0	5	0	1	2	1	1	2	1	2	1	1	2	1	2	3	0	1	2	4
hsa-miR-433-3p	388	330	1338	622	474	613	490	355	362	748	371	404	554	667	908	462	1272	487	878	719	1190	556	783	537	1576	372	429	532	980	1563	555	950	465	1458	2031	1700	569
hsa-miR-3136-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-153-3p	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-132-5p	164	143	107	264	119	283	127	308	63	26	256	86	214	136	87	74	98	113	106	162	113	172	187	148	95	227	250	203	118	84	218	97	216	102	83	106	74
hsa-miR-4707-5p	1	1	0	1	0	0	0	0	0	0	0	0	1	2	0	0	2	0	2	0	2	0	1	0	12	0	0	1	0	13	2	0	0	5	16	10	5
hsa-miR-133a-3p	12	3	4	14	10	28	16	27	3	3	13	9	20	9	4	11	4	5	3	15	2	15	9	16	4	13	18	10	4	5	29	4	22	8	1	2	0
hsa-miR-1233-3p	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-32-3p	62	48	51	106	52	104	164	228	69	17	78	78	68	80	46	71	39	53	52	103	32	112	83	115	36	89	88	107	43	45	94	45	87	48	44	66	11
hsa-miR-6741-3p	1	3	3	2	3	3	1	2	1	0	1	0	0	2	3	3	7	0	2	4	3	2	3	0	5	1	4	4	4	8	2	6	1	9	3	3	0
hsa-miR-144-3p	841	299	111	1424	268	1764	2392	23421	128	898	1814	834	871	134	292	493	96	370	133	801	87	387	405	782	27	804	1268	1841	331	104	758	59	1213	176	190	205	98
hsa-miR-3127-3p	1	3	4	0	2	1	1	0	9	6	1	1	0	2	5	1	9	2	2	0	9	2	1	4	3	1	1	2	4	7	2	2	1	8	12	3	2
hsa-mir-125b-2	686	587	762	1123	711	806	695	378	587	348	653	692	1067	736	712	824	597	693	693	1019	682	760	934	1093	649	714	855	756	856	620	893	747	815	918	428	763	282
