"chr","start","end"
"chr1",55803534,55803675
"chr1",148458753,148458950
"chr11",69352882,69353014
"chr6",10521886,10522003
"chr11",130480294,130480490
"chr10",71252327,71252422
"chr6",121520712,121521135
"chr4",2756009,2756259
"chr9",124320436,124320568
"chr12",76539731,76539894
"chr1",1597754,1597883
"chr16",14029712,14029803
"chr2",134707149,134707215
"chr13",31733175,31733300
"chr1",23216868,23216943
"chr11",6474218,6474442
"chr2",231961576,231961754
"chr1",234326688,234326843
"chr16",29710412,29710575
"chr5",170420901,170421051
"chr5",611767,611841
"chr1",35573220,35573313
"chr9",116390574,116390643
"chr14",58166502,58166632
"chr14",93946621,93946946
"chr1",245301309,245301377
"chr2",207165769,207165834
"chr11",66069613,66069671
"chr17",42050534,42050698
"chr8",1499149,1499241
"chr2",86856127,86856261
"chr1",206202993,206203600
"chr19",47699457,47699621
"chr9",2818026,2818363
"chr7",134141407,134141496
